cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p	n_cohort_tests	bonf_cohort_thr	bonf_global_thr	gizmo_pc_var_frac	mofa_factor_var_frac	gizmo_survives_bonf_cohort	gizmo_survives_bonf_global	mofa_survives_bonf_cohort	mofa_survives_bonf_global
Filbin_COVID	abs_lymph_0_cat	spearman	379	3	0.2982264769959754	3.3370649195441102e-09	5	0.3411462360634258	9.346362692964016e-12	25	0.002	0.00027624309392265195	0.07737733509709807	0.08692764125148916	False	False	False	False
Filbin_COVID	abs_mono_0_cat	spearman	376	2	0.2507393158982286	8.737862203582675e-07	8	0.2956705305003979	5.29754542926769e-09	25	0.002	0.00027624309392265195	0.15486188523881286	0.047701352929622874	False	False	False	False
Filbin_COVID	creat_0_cat	spearman	381	5	0.5288268568760843	9.152435453844776e-29	1	0.5084419244231766	2.2542132883271943e-26	25	0.002	0.00027624309392265195	0.057479928134199956	0.226835323714263	True	True	True	True
Filbin_COVID	crp_0_cat	spearman	366	3	0.6123725112718845	6.094279396230449e-39	4	0.5371362350526552	1.139627502036468e-28	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	True	True	True	True
Filbin_COVID	ddimer_0_cat	spearman	358	2	0.3966190648478879	6.732888944727898e-15	1	0.4232510081592487	5.986132368381682e-17	25	0.002	0.00027624309392265195	0.15486188523881286	0.226835323714263	False	False	True	True
Filbin_COVID	ldh_0_cat	spearman	362	3	0.6489753978841972	1.5426237816296414e-44	3	0.6059203540390664	1.494212605248203e-37	25	0.002	0.00027624309392265195	0.07737733509709807	0.19739990412451355	True	True	True	True
Filbin_COVID	trop_72h	auc	384	5	0.5814933423226023	2.1690171872247986e-08	1	0.5904264284510365	1.3161137637176635e-08	25	0.002	0.00027624309392265195	0.057479928134199956	0.226835323714263	True	True	True	True
Filbin_COVID	heart	auc	384	2	0.4168472372697723	4.1778109341743096e-08	1	0.4501625135427953	3.1913667299581364e-09	25	0.002	0.00027624309392265195	0.15486188523881286	0.226835323714263	True	True	True	True
Filbin_COVID	lung	auc	384	3	0.3370332305584105	3.597745542568851e-07	4	0.3378554299417611	3.36950361168628e-07	25	0.002	0.00027624309392265195	0.07737733509709807	0.12860771093054962	False	False	False	False
Filbin_COVID	kidney	auc	384	5	0.5325323286834336	4.218941689912478e-11	1	0.7129620201608797	1.0349217354118285e-18	25	0.002	0.00027624309392265195	0.057479928134199956	0.226835323714263	True	True	True	True
Filbin_COVID	diabetes	auc	384	4	0.1558710440698019	0.011315600180601	6	0.2343685300207039	0.0001397720681284	25	0.002	0.00027624309392265195	0.0711470163066375	0.055805708051852636	False	False	False	False
Filbin_COVID	htn	auc	384	2	0.3124317238365741	1.265208359812267e-07	1	0.4291020318986236	3.9546334324361373e-13	25	0.002	0.00027624309392265195	0.15486188523881286	0.226835323714263	False	False	True	True
Filbin_COVID	immuno	auc	384	2	0.100125680770842	0.2898847366060191	8	0.3477167993297023	0.0002356669173788	25	0.002	0.00027624309392265195	0.15486188523881286	0.047701352929622874	False	False	False	False
Filbin_COVID	resp_symp	auc	384	5	0.5458143074581431	9.255536355888162e-05	2	0.3765601217656014	0.0070025352906622	25	0.002	0.00027624309392265195	0.057479928134199956	0.2188410408812834	True	True	False	False
Filbin_COVID	fever_sympt	auc	384	2	0.3142840187525961	3.410475799312358e-07	1	0.3554685181888315	8.045519931215297e-09	25	0.002	0.00027624309392265195	0.15486188523881286	0.226835323714263	False	False	False	False
Filbin_COVID	gi_symp	auc	384	5	0.175033692722372	0.0035088770675271	8	0.1772798742138364	0.0031094382470969	25	0.002	0.00027624309392265195	0.057479928134199956	0.047701352929622874	False	False	False	False
Erawijantari	age	spearman	96	3	0.1577781432814563	0.1247134290209013	1	0.1063098622652263	0.3025878062132723	11	0.004545454545454546	0.00027624309392265195	0.19405958614366423	0.3506681749109989	False	False	False	False
Erawijantari	sex	auc	96	3	0.2197265625	0.0810123627047225	6	0.283203125	0.0244470281249824	11	0.004545454545454546	0.00027624309392265195	0.19405958614366423	0.047800315229189615	False	False	False	False
Erawijantari	bmi	spearman	96	5	0.2415947150808401	0.0177223291838136	2	0.283049709425986	0.0052001391427648	11	0.004545454545454546	0.00027624309392265195	0.08433479375123928	0.20771788383348042	False	False	False	False
